,Classifier,Accuracy,Precision,Recall,F1 Score,Kappa Score,Overall Average Kappa,Peer Average Kappa
0,Logistic Regression,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641,0.23115577889447236,0.5312334403126896,0.43748012837522754
1,Random Forest,0.7111111111111111,0.6521739130434783,0.75,0.6976744186046512,0.4236453201970444,0.5289696349091758,0.434763561891011
2,Support Vector Machine,0.6444444444444445,0.7,0.35,0.4666666666666667,0.2421052631578947,0.446394245174733,0.3356730942096796
3,K-Nearest Neighbors,0.6,0.5454545454545454,0.6,0.5714285714285714,0.19801980198019797,0.46349024002841593,0.356188288034099
4,Decision Tree,0.6666666666666666,0.6190476190476191,0.65,0.6341463414634146,0.32835820895522383,0.4118125361642891,0.29417504339714695
5,Naive Bayes,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.3076923076923077,0.542192945699311,0.4506315348391731
