Dataset,Accuracy,Precision,Recall,F1 Score
A1,0.7042735042735042,0.638203659809011,0.823076923076923,0.7140433110144617
A2,0.6085470085470086,0.565619176145492,0.5769230769230769,0.5670443607937437
B1,0.717948717948718,0.6519339767111276,0.8192307692307692,0.722083207326655
B2,0.6188034188034188,0.579381875434507,0.5769230769230769,0.5711057105287874
C,0.6324786324786325,0.600820962663068,0.573076923076923,0.5839302398006851
D1,0.717948717948718,0.6567743098320038,0.8153846153846154,0.7212064551773684
D2,0.6376068376068376,0.6038538007995021,0.6038461538461538,0.5943917816258242
