,Chi-square p-value,Chi-Sq Significance,Fisher's exact p-value,Fisher's Significance
whereDetected,0.09651877524572479,True,0.04502917395294077,True
regexDetected,0.0583404540344552,True,0.05582810835512765,True
logicOperator,0.012891658723005529,True,0.012318560906309596,True
MathOperator,0.5806152315243337,False,0.5538456347062672,False
Size,0.11009480141286827,False,0.07285077615508816,True
thisPointer,0.09651877524572479,True,0.04502917395294077,True
matcherOption,0.04818439372092508,True,0.020467806342245806,True
